Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES_1,INFOS_COMPLEMENTAIRES_2,INFOS_COMPLEMENTAIRES_3,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,OUVERTURE,TARIFS,VISITE_CONDITIONS_IND,VISITE_LANGUES_PARLEES,EQUIPEMENTS,SERVICES
ASCAQU040V50GG9G,03/01/2020,Activité sportive, Pôle Nautique Soustons Plage - Ecole de voile,,,Avenue de la Pêtre,base de loisirs du lac,40140,SOUSTONS,40310,+33 5 58 41 54 00,+33 6 73 23 99 16,snsoustons@wanadoo.fr,http://www.ecole-voile-soustons.com   # http://www.canoe-kayak-soustons.com  ,-1.3375747,43.75532570000001,Oui,"
",Planche à voile # Planche à voile # Voile # Voile,,,,01/04/2020|01/11/2020|||||,"Tarif de base|||STAGE A LA SEMAINE # Tarif de groupe|||pour structures: associations, entreprises, mairie, ecole # Tarif réduit|||LOCATION",,,,
ASCAQU033V50PMBP,03/01/2020,Activité sportive,"""Escapades insolites"" - séjour en pleine nature avec Ataho",,,,,33800,BORDEAUX,33063,,+33 7 70 64 24 86 # +33 6 21 25 13 60,ataho2019@gmail.com,http://www.ataho.fr,-0.5800364,44.841225,Oui,"
",Cyclotourisme # Randonnée pédestre # Motonautisme (bateau à moteur),Cyclo # Pédestre,,,01/01/2020|31/12/2020|||||,,,,,
ASCAQU040FS0012M,03/01/2020,Activité sportive,2X Aventures,,,Impasse du Poun,,40300,SORDE-L'ABBAYE,40306,,+33 6 10 61 79 02,contact@2xaventures.com,http://www.2xaventures.com,-1.0523566,43.527327,Oui,"
",Canoé kayak # Canoé kayak # Stand-up-paddle-board # Stand-up-paddle-board,,,,04/04/2020|16/10/2020|||||,"Tarif de base||| Petite Amazonie - enfant jusqu'à 12 ans inclus # Tarif de base||| Petite Amazonie - à partir de 13 ans et + # Tarif de base|||Descente 9km - enfant jusqu'à 12 ans inclus # Tarif de base|||Descente 9km - à partir de 13 ans et + # Tarif de base|||Descente 20km - enfant jusqu'à 12 ans inclus # Tarif de base|||Descente 20km - à partir de 13 ans et + # Tarif de base|||Standup paddle de 30 min à 2h30 # Tarif de base|9,00|90,00|",,,,
ASCAQU064FS000HU,03/01/2020,Activité sportive,2xaventures,,,Rue du Pasteur Rennes,,64390,SAUVETERRE-DE-BEARN,64513,,+33 6 10 61 79 02 # +33 6 72 39 22 99,contact@2xaventures.com,http://www.2xaventures.com,-0.9396099,43.4000274,Oui,"
",Canoé kayak # Canoé kayak # Stand-up-paddle-board # Canoé kayak,,,,04/04/2020|11/10/2020|||||,"Tarif de base|15,00|36,00|Tarif adulte # Tarif de base|9,00|24,00|Tarif enfant (- de 13 ans)",,,,
ASCAQU064V59TTC9,03/01/2020,Activité sportive,A bord du bâteau Degouzi,,,,Port,64500,SAINT-JEAN-DE-LUZ,64483,,+33 6 62 28 44 57,mintzabeti@hotmail.fr,,-1.6650706999999998,43.3871661,Non,"
",Pêche en mer,,,,01/04/2020|31/10/2020|||||,,,,,
ASCAQU040FS000OR,03/01/2020,Activité sportive,"A l'Eau Plongée, école subaquatique landaise",,Plage du Rey (lac),2467 av TCF,,40150,SOORTS-HOSSEGOR,40304,,+33 7 81 77 31 71,aleauplongee@gmail.com,http://alp40.monsite.orange.fr,-1.4247239999999999,43.676891,,"
",Plongée # Plongée,,,,,,,,,
ASCAQU033V5020SN,03/01/2020,Activité sportive,AC Yachting,,,14 quai du Capitaine Allègre,,33120,ARCACHON,33009,+33 5 56 22 69 10,+33 6 71 49 34 34,j.duffour@ac-yachting.com,http://ac-yachting.com,-1.1450886,44.656824799999995,Oui,"
",Motonautisme (bateau à moteur) # Catamaran,,,,01/04/2020|31/10/2020|||||,,,,,Wifi
ASCAQU033V50JR7V,03/01/2020,Activité sportive,Accrokite,,,25 avenue de la Plage,,33123,LE VERDON-SUR-MER,33544,,+33 6 47 40 84 58,accrokite.leverdon@gmail.com,http://accrokite.com/,-1.0564566,45.5474027,Oui,"
",Kite-surf,,,Ecole Française de Voile # Ecole Française de Vol Libre,01/04/2020|31/10/2020|||||,"Tarif de base|35,00||Séance simulateur de Kite : 20 min",,,,
ASCAQU040FS00150,03/01/2020,Activité sportive,Adishats Surf School,,,11 rue des mousses,,40130,CAPBRETON,40065,+33 6 74 38 23 57,,adishats40@gmail.com,http://www.adishatsurfschool.com,-1.4450513999999999,43.650699700000004,Oui,"
",Surf,,,Ecole Française de Surf,,"Tarif de base|||Cours collectif 2h dont 1h30 dans l'eau  # Tarif de base|||Cours particulier de 1 à 3 personnes tarif dégressif # Tarif de base|||Stage de surf: 5 jours de cours à raison de 1h30 dans l’eau par jour, soit 2h # Tarif de base|||Cours particulier de stand up paddle # Tarif de base|||Cours collectif stand up paddle",,,,
ASCAQU033FS0008S,03/01/2020,Activité sportive,Agence Nautique ,,,Quai Goslar,Port de Plaisance - Ponton ADM,33120,ARCACHON,33009,+33 5 57 73 63 90,+33 6 08 01 75 83,agence-nautique@orange.fr,http://www.agence-nautique.com,-1.1436939,44.6583359,Oui,"
",Motonautisme (bateau à moteur) # Wake board # Bouées tractées,,,,15/03/2020|15/11/2020|||||,"Tarif de base|||Location de bateau en journée # Tarif réduit|||Location bateau semaine 7 jours # Tarif de groupe|||Wakeboard, ski nautique",,,,
